Repository,Commit Hash,Severity_High,Severity_Medium,Severity_Low,Confidence_High,Confidence_Medium,Confidence_Low,CWE_Counts
scrapy,cc146b9df7c6039ab0e0654b5844f5978e5bc565,23,26,1289,1320,17,1,"{""703"": 1187, ""78"": 62, ""20"": 7, ""259"": 9, ""330"": 34, ""22"": 2, ""327"": 12, ""377"": 1, ""502"": 16, ""319"": 6, ""605"": 2}"
scrapy,cc484efd43b0f8ba0dc89904a7d38086775c44ae,33,31,1303,1348,18,1,"{""703"": 1190, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,cde0845ab2ac390ad7671f50f52e7b6033d4bbc1,33,31,1300,1345,18,1,"{""703"": 1187, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,cec0aeca58730b592bec50299414d4bf30fc9ec0,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,d27c6b46b11c2ceaa61b35372ad8a3c98185aa18,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,d47f142d0ffff0e8f87eee67c4c0e7edbc71613e,23,26,1289,1320,17,1,"{""703"": 1187, ""78"": 62, ""20"": 7, ""259"": 9, ""330"": 34, ""22"": 2, ""327"": 12, ""377"": 1, ""502"": 16, ""319"": 6, ""605"": 2}"
scrapy,d4b152bbf64591317d2d7ec9dfed0746e7bdb8e1,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,d6bf1464b875d40be489568bede8e8319ff770c9,23,26,1289,1320,17,1,"{""703"": 1187, ""78"": 62, ""20"": 7, ""259"": 9, ""330"": 34, ""22"": 2, ""327"": 12, ""377"": 1, ""502"": 16, ""319"": 6, ""605"": 2}"
scrapy,d7168577b859d15a15c2bcbc6c4f607a62be7478,33,31,1307,1352,18,1,"{""703"": 1194, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,d8978d405c32ee63375e09bf0b66b1e803da3d08,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,dc4d6d16ead45932a564ea37eef03da92714f5cf,23,26,1281,1312,17,1,"{""703"": 1179, ""78"": 62, ""20"": 7, ""259"": 9, ""330"": 34, ""22"": 2, ""327"": 12, ""377"": 1, ""502"": 16, ""319"": 6, ""605"": 2}"
scrapy,dc706d4fc307f0b51d8122f10dee6ad8e2653629,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,df688910e0499b0a874d220fe00ed7355a70fce0,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,e0c828b7f665d8c82e17787996634bc072e416ae,33,31,1307,1352,18,1,"{""703"": 1194, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,e53d6f09bc584f752200a11b686ec628b8c4c09d,23,26,1289,1320,17,1,"{""703"": 1187, ""78"": 62, ""20"": 7, ""259"": 9, ""330"": 34, ""22"": 2, ""327"": 12, ""377"": 1, ""502"": 16, ""319"": 6, ""605"": 2}"
scrapy,e7595837a60b896eb0efed4b452b0bdd62e8039f,33,31,1300,1345,18,1,"{""703"": 1187, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,eda1a8a7c5b3b61aedd5fcc2e3950b7af28a2926,23,26,1275,1306,17,1,"{""703"": 1173, ""78"": 62, ""20"": 7, ""259"": 9, ""330"": 34, ""22"": 2, ""327"": 12, ""377"": 1, ""502"": 16, ""319"": 6, ""605"": 2}"
scrapy,eda3a89b3fe3e88ed8b90d032a2f25b92a1b79ca,23,24,1248,1279,15,1,"{""703"": 1146, ""78"": 62, ""20"": 7, ""259"": 9, ""330"": 34, ""22"": 2, ""327"": 10, ""377"": 1, ""502"": 16, ""319"": 6, ""605"": 2}"
scrapy,ede9e9c3c3f9a9049fea2a6be0339b2c7434b8a1,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,ee4f527f47111c18ddef0c2369c1dede7447a4e9,33,31,1307,1352,18,1,"{""703"": 1194, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,efb53aafdcaae058962c6189ddecb3dc62b02c31,23,26,1285,1316,17,1,"{""703"": 1183, ""78"": 62, ""20"": 7, ""259"": 9, ""330"": 34, ""22"": 2, ""327"": 12, ""377"": 1, ""502"": 16, ""319"": 6, ""605"": 2}"
scrapy,f041f26a6ff636b764d2bf584ddbc9b9e4334d1b,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,f2234c5b96d4069d6881aacb7007ba3d305dfb0e,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,f44ca39fa23f07c857a34309d79db6394c5faefb,33,31,1306,1351,18,1,"{""703"": 1193, ""78"": 68, ""20"": 9, ""259"": 10, ""330"": 36, ""22"": 2, ""327"": 20, ""377"": 1, ""502"": 23, ""319"": 6, ""605"": 2}"
scrapy,f4d8d6d8acf8ed26230c3c2b2b51425659de7105,23,26,1289,1320,17,1,"{""703"": 1187, ""78"": 62, ""20"": 7, ""259"": 9, ""330"": 34, ""22"": 2, ""327"": 12, ""377"": 1, ""502"": 16, ""319"": 6, ""605"": 2}"
